"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
844,"BRX","Brixmor Property Group Inc.","Financial","REIT - Retail","USA",5466.74,18.64,17.69,0.45%,1993470
845,"BRZU","Direxion Daily MSCI Brazil Bull 3X ETF","Financial","Exchange Traded Fund","USA",,,24.91,1.55%,1366260
846,"BSAC","Banco Santander-Chile","Financial","Money Center Banks","Chile",15328.46,17.29,32.51,-0.03%,447380
847,"BSBR","Banco Santander (Brasil) S.A.","Financial","Foreign Regional Banks","Brazil",36113.81,13.92,9.66,0.21%,778714
848,"BSCI","Invesco BulletShares 2018 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,21.13,-0.14%,60100
849,"BSCJ","Invesco BulletShares 2019 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,21.03,-0.14%,106076
850,"BSCK","Invesco BulletShares 2020 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,21.04,-0.05%,170802
851,"BSCL","Invesco BulletShares 2021 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,20.73,-0.05%,106637
852,"BSCM","Invesco BulletShares 2022 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,20.65,-0.10%,87804
853,"BSCN","Invesco BulletShares 2023 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,20.22,-0.07%,72189
854,"BSCO","Invesco BulletShares 2024 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,20.12,0.00%,46976
855,"BSCP","Invesco BulletShares 2025 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,19.81,-0.27%,24712
856,"BSCQ","Invesco BulletShares 2026 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,18.75,-0.18%,9413
857,"BSCR","Invesco BulletShares 2027 Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,19.04,-0.22%,4595
858,"BSD","BlackRock Strategic Municipal Trust","Financial","Closed-End Fund - Debt","USA",,,12.56,-0.87%,23751
859,"BSE","BlackRock New York Municipal Income Quality Trust","Financial","Closed-End Fund - Debt","USA",,,12.50,0.24%,12637
860,"BSET","Bassett Furniture Industries, Incorporated","Consumer Goods","Home Furnishings & Fixtures","USA",258.03,16.91,23.50,-3.29%,25030
861,"BSIG","BrightSphere Investment Group plc","Financial","Asset Management","United Kingdom",1361.66,8.41,12.49,-9.49%,2045690
862,"BSJI","Invesco BulletShares 2018 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,25.09,-0.16%,58401
863,"BSJJ","Invesco BulletShares 2019 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.22,-0.33%,149759
864,"BSJK","Invesco BulletShares 2020 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.31,-0.33%,117818
865,"BSJL","Invesco BulletShares 2021 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.71,-0.32%,115190
866,"BSJM","Invesco BulletShares 2022 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.59,-0.30%,74789
867,"BSJN","Invesco BulletShares 2023 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,26.14,-0.40%,34253
868,"BSJO","Invesco BulletShares 2024 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.74,-0.40%,4758
869,"BSJP","Invesco BulletShares 2025 HY Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,24.23,-0.28%,9682
870,"BSL","Blackstone/GSO Senior Floating Rate Term Fund","Financial","Closed-End Fund - Debt","USA",,,18.09,0.06%,21565
871,"BSM","Black Stone Minerals, L.P.","Basic Materials","Independent Oil & Gas","USA",3527.13,26.39,17.34,0.52%,91165
872,"BSMX","Banco Santander (Mexico), S.A., Institucion de Banca Multiple, Grupo Financiero Santander","Financial","Foreign Regional Banks","Mexico",,116.57,8.16,-2.97%,893967
873,"BSPM","Biostar Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","China",2.77,4.61,1.82,2.25%,48809
874,"BSQR","BSQUARE Corporation","Technology","Application Software","USA",29.84,,2.25,-2.17%,34257
875,"BSRR","Sierra Bancorp","Financial","Regional - Pacific Banks","USA",450.12,16.51,29.75,1.05%,22912
876,"BST","BlackRock Science and Technology Trust","Financial","Closed-End Fund - Equity","USA",801.33,3.88,34.57,2.83%,83851
877,"BSTC","BioSpecifics Technologies Corp.","Healthcare","Biotechnology","USA",337.72,25.25,45.09,-0.16%,5566
878,"BSTI","BEST Inc.","Technology","Application Software","China",3591.70,,9.29,-2.42%,1619506
879,"BSV","Vanguard Short-Term Bond ETF","Financial","Exchange Traded Fund","USA",,,78.06,0.06%,5030492
880,"BSX","Boston Scientific Corporation","Healthcare","Medical Appliances & Equipment","USA",46808.11,33.75,33.38,-0.03%,6234902
881,"BT","BT Group plc","Technology","Diversified Communication Services","United Kingdom",28206.38,11.32,15.09,-0.46%,782485
882,"BTA","BlackRock Long-Term Municipal Advantage Trust","Financial","Closed-End Fund - Debt","USA",152.44,17.17,11.30,-0.09%,27693
883,"BTAI","BioXcel Therapeutics, Inc.","Healthcare","Biotechnology","USA",178.91,,10.77,5.28%,24007
884,"BTAL","AGFiQ US Market Neutral Anti-Beta","Financial","Exchange Traded Fund","USA",,,20.15,0.79%,1
885,"BTE","Baytex Energy Corp.","Basic Materials","Independent Oil & Gas","Canada",795.60,,3.22,1.26%,2082741
886,"BTEC","Principal Healthcare Innovators ETF","Financial","Exchange Traded Fund","USA",,,35.90,1.10%,1015
887,"BTG","B2Gold Corp.","Basic Materials","Gold","Canada",2389.18,42.07,2.44,0.00%,3245463
888,"BTI","British American Tobacco p.l.c.","Consumer Goods","Cigarettes","United Kingdom",121110.41,3.26,54.25,-1.00%,1135352
889,"BTN","Ballantyne Strong, Inc","Consumer Goods","Photographic Equipment & Supplies","USA",79.23,,5.54,0.44%,1580
890,"BTO","John Hancock Financial Opportunities Fund","Financial","Closed-End Fund - Equity","USA",,,38.99,0.96%,13019
891,"BTT","Blackrock Municipal 2030 Target Term Trust","Financial","Closed-End Fund - Debt","USA",1514.47,11.80,21.48,0.33%,78299
892,"BTU","Peabody Energy Corporation","Basic Materials","Industrial Metals & Minerals","USA",5340.08,11.09,43.25,1.67%,626915
893,"BTX","BioTime, Inc.","Healthcare","Biotechnology","USA",316.13,,2.37,-1.66%,474250
894,"BTZ","BlackRock Credit Allocation Income Trust","Financial","Closed-End Fund - Debt","USA",1305.06,11.03,12.15,0.08%,143765
895,"BUD","Anheuser-Busch InBev SA/NV","Consumer Goods","Beverages - Brewers","Belgium",178425.95,26.53,100.43,-0.72%,1430234
896,"BUI","BlackRock Utility and Infrastructure Trust","Financial","Closed-End Fund - Equity","USA",,,20.50,-0.39%,23711
897,"BURG","Chanticleer Holdings, Inc.","Services","Restaurants","USA",9.69,,2.61,-0.27%,6365
898,"BURL","Burlington Stores, Inc.","Services","Discount, Variety Stores","USA",10746.77,33.55,155.66,3.03%,600790
899,"BUSE","First Busey Corporation","Financial","Regional - Midwest Banks","USA",1545.35,17.85,31.68,-0.06%,212698
900,"BUY","USCF SummerHaven SHPEI ETF","Financial","Exchange Traded Fund","USA",,,27.38,0.47%,370
901,"BUZ","BUZZ US Sentiment Leaders ETF","Financial","Exchange Traded Fund","USA",,,36.69,0.86%,1326
902,"BV","BrightView Holdings, Inc.","Technology","Application Software","USA",2241.98,136.29,21.67,-1.46%,1015938
903,"BVAL","Brand Value ETF","Financial","Exchange Traded Fund","USA",,,15.75,0.00%,0
904,"BVN","Compania de Minas Buenaventura S.A.A.","Basic Materials","Industrial Metals & Minerals","Peru",3510.79,92.11,13.54,-1.38%,608653
905,"BVSN","BroadVision, Inc.","Technology","Internet Software & Services","USA",10.89,0.14,2.05,-0.49%,7024
906,"BVX","Bovie Medical Corporation","Healthcare","Medical Instruments & Supplies","USA",174.10,,4.98,0.20%,143378
907,"BVXV","BiondVax Pharmaceuticals Ltd.","Healthcare","Biotechnology","Israel",39.08,,5.98,-0.99%,6109
908,"BW","Babcock & Wilcox Enterprises, Inc.","Industrial Goods","Industrial Electrical Equipment","USA",362.38,,2.08,-3.70%,840240
909,"BWA","BorgWarner Inc.","Consumer Goods","Auto Parts","USA",9014.60,11.61,44.64,1.06%,1230025
910,"BWEN","Broadwind Energy, Inc.","Industrial Goods","Diversified Machinery","USA",37.35,,2.33,-2.92%,16911
911,"BWFG","Bankwell Financial Group, Inc.","Financial","Regional - Northeast Banks","USA",259.44,22.09,32.47,-0.34%,4722
912,"BWG","Legg Mason BW Global Income Opportunities Fund Inc.","Financial","Closed-End Fund - Debt","USA",239.09,16.47,11.38,-0.44%,69428
913,"BWINA","Baldwin & Lyons, Inc.","Financial","Property & Casualty Insurance","USA",62.95,30.73,24.00,0.00%,0
914,"BWINB","Baldwin & Lyons, Inc.","Financial","Property & Casualty Insurance","USA",352.59,155.67,23.35,0.00%,0
915,"BWL-A","Bowl America, Inc. Class A","Services","Sporting Activities","USA",79.30,25.93,14.96,0.42%,210
916,"BWX","SPDR Blmbg Barclays Intl Trs Bd ETF","Financial","Exchange Traded Fund","USA",,,27.56,-0.33%,734326
917,"BWXT","BWX Technologies, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",6535.87,31.14,65.67,0.29%,289599
918,"BWZ","SPDR Blmbg Barclays ST Intrn TrsBd ETF","Financial","Exchange Traded Fund","USA",,,31.18,-0.57%,16087
919,"BX","The Blackstone Group L.P.","Financial","Asset Management","USA",42758.03,11.15,34.72,-0.17%,2461760
920,"BXC","BlueLinx Holdings Inc.","Services","Building Materials Wholesale","USA",338.00,4.10,33.97,1.34%,114033
921,"BXE","Bellatrix Exploration Ltd.","Basic Materials","Independent Oil & Gas","Canada",46.17,,0.94,0.58%,36516
922,"BXG","Bluegreen Vacations Corporation","Services","Resorts & Casinos","USA",1892.18,22.69,25.57,1.03%,32838
923,"BXMT","Blackstone Mortgage Trust, Inc.","Financial","REIT - Diversified","USA",3613.72,13.77,33.30,1.12%,1387781
924,"BXMX","Nuveen S&P; 500 Buy-Write Income Fund","Financial","Closed-End Fund - Equity","USA",,,14.37,-0.07%,126498
925,"BXP","Boston Properties, Inc.","Financial","REIT - Office","USA",20221.83,37.53,128.90,-0.72%,1066833
926,"BXS","BancorpSouth Bank","Financial","Regional - Southeast Banks","USA",3391.92,17.32,33.60,1.36%,345297
927,"BYD","Boyd Gaming Corporation","Services","Resorts & Casinos","USA",4337.39,33.30,36.16,1.92%,808767
928,"BYFC","Broadway Financial Corporation","Financial","Savings & Loans","USA",38.29,51.25,2.05,0.00%,2592
929,"BYLD","iShares Yield Optimized Bond ETF","Financial","Exchange Traded Fund","USA",,,24.13,-0.23%,54150
930,"BYM","Blackrock Municipal Income Qual","Financial","Closed-End Fund - Debt","USA",,,13.32,0.00%,89406
931,"BYSI","BeyondSpring Inc.","Healthcare","Biotechnology","USA",582.21,,24.87,1.51%,8828
932,"BZF","WisdomTree Brazilian Real Strategy ETF","Financial","Exchange Traded Fund","USA",,,16.51,-0.06%,590
933,"BZH","Beazer Homes USA, Inc.","Industrial Goods","Residential Construction","USA",459.36,12.86,12.98,1.09%,542782
934,"BZM","BlackRock Maryland Municipal Bond Trust","Financial","Asset Management","USA",,,13.99,0.07%,686
935,"BZQ","ProShares UltraShort MSCI Brazil Capped","Financial","Exchange Traded Fund","USA",,,47.80,-1.14%,69473
936,"BZUN","Baozun Inc.","Services","Catalog & Mail Order Houses","China",5203.87,106.26,57.06,-1.16%,1250381
937,"C","Citigroup Inc.","Financial","Money Center Banks","USA",183263.83,11.72,71.84,-0.13%,13186716
938,"CA","CA, Inc.","Technology","Business Software & Services","USA",18545.88,24.05,44.03,-0.11%,3022389
939,"CAAP","Corporacion America Airports S.A.","Services","Air Services, Other","Luxembourg",1599.27,28.99,10.58,-4.08%,44842
940,"CAAS","China Automotive Systems, Inc.","Consumer Goods","Auto Parts","China",132.79,7.88,4.31,3.83%,58120
941,"CABO","Cable One, Inc.","Technology","Diversified Communication Services","USA",4042.20,31.91,712.91,-0.95%,23346
942,"CAC","Camden National Corporation","Financial","Regional - Northeast Banks","USA",695.20,15.33,44.65,0.61%,22396
943,"CACC","Credit Acceptance Corporation","Financial","Credit Services","USA",8639.37,14.61,446.71,4.62%,392610
944,"CACG","ClearBridge All Cap Growth ETF","Financial","Exchange Traded Fund","USA",,,30.82,0.73%,19551
945,"CACI","CACI International Inc","Technology","Information Technology Services","USA",4399.35,22.85,177.25,1.05%,97958
946,"CADC","China Advanced Construction Materials Group, Inc.","Industrial Goods","General Building Materials","China",28.03,23.23,5.90,7.27%,8205
947,"CADE","Cadence Bancorporation","Financial","Regional - Southeast Banks","USA",2374.36,15.43,27.96,1.75%,1331472
948,"CAE","CAE Inc.","Industrial Goods","Aerospace/Defense Products & Services","Canada",5629.55,21.36,21.04,1.11%,95983
949,"CAF","Morgan Stanley China A Share Fund, Inc.","Financial","Closed-End Fund - Foreign","USA",,,21.16,-1.17%,253576
950,"CAG","Conagra Brands, Inc.","Consumer Goods","Processed & Packaged Goods","USA",14511.78,26.91,36.86,1.38%,4818302
951,"CAH","Cardinal Health, Inc.","Services","Drugs Wholesale","USA",15559.77,20.21,49.98,-0.12%,3971541
952,"CAI","CAI International, Inc.","Services","Rental & Leasing Services","USA",515.16,7.47,25.02,-2.68%,221800
953,"CAJ","Canon Inc.","Consumer Goods","Business Equipment","Japan",43021.94,15.85,32.11,0.16%,177832
954,"CAKE","The Cheesecake Factory Incorporated","Services","Restaurants","USA",2277.81,21.76,50.15,2.22%,1794093
955,"CAL","Caleres, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",1539.17,16.40,33.88,2.54%,165574
956,"CALA","Calithera Biosciences, Inc.","Healthcare","Biotechnology","USA",157.72,,4.25,-0.58%,109907
957,"CALF","Pacer US Small Cap Cash Cows 100 ETF","Financial","Exchange Traded Fund","USA",,,28.89,0.83%,6476
958,"CALL","magicJack VocalTec Ltd.","Technology","Telecom Services - Domestic","Israel",136.92,21.93,8.40,-1.18%,155301
959,"CALM","Cal-Maine Foods, Inc.","Consumer Goods","Food - Major Diversified","USA",2158.96,25.85,44.25,-0.56%,304344
960,"CALX","Calix, Inc.","Technology","Communication Equipment","USA",366.38,,7.00,0.00%,144413
961,"CAMP","CalAmp Corp.","Technology","Communication Equipment","USA",831.83,18.98,22.74,0.04%,323047
962,"CAMT","Camtek Ltd.","Technology","Semiconductor Equipment & Materials","Israel",295.57,80.97,8.34,0.24%,109879
963,"CANE","Teucrium Sugar ETF","Financial","Exchange Traded Fund","USA",,,6.86,0.59%,65217
964,"CANF","Can-Fite BioPharma Ltd.","Healthcare","Biotechnology","Israel",40.98,,1.18,-0.84%,25740
965,"CAPE","Barclays ETN+ Shiller Capet","Financial","Exchange Traded Fund","USA",,,125.76,0.45%,1700
966,"CAPL","CrossAmerica Partners LP","Basic Materials","Oil & Gas Refining & Marketing","USA",628.03,,18.31,1.50%,177254
967,"CAPR","Capricor Therapeutics, Inc.","Healthcare","Biotechnology","USA",35.80,,1.21,4.30%,109881
968,"CAR","Avis Budget Group, Inc.","Services","Rental & Leasing Services","USA",2809.75,17.52,34.37,1.27%,1678672
969,"CARA","Cara Therapeutics, Inc.","Healthcare","Biotechnology","USA",627.72,,17.94,0.39%,503497
970,"CARB","Carbonite, Inc.","Technology","Business Software & Services","USA",1216.86,,35.20,1.73%,450293
971,"CARG","CarGurus, Inc.","Services","Auto Dealerships","USA",4665.93,531.55,44.65,1.78%,630626
972,"CARO","Carolina Financial Corporation","Financial","Regional - Mid-Atlantic Banks","USA",957.14,24.72,41.98,1.11%,77955
973,"CARS","Cars.com Inc.","Services","Auto Dealerships","USA",2042.74,16.86,27.80,-1.31%,740026
974,"CART","Carolina Trust BancShares, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",58.62,23.07,8.35,0.10%,1030
975,"CARV","Carver Bancorp, Inc.","Financial","Savings & Loans","USA",14.90,2.67,3.90,0.78%,1690
976,"CARZ","First Trust NASDAQ Global Auto ETF","Financial","Exchange Traded Fund","USA",,,36.86,-0.61%,18120
977,"CASA","Casa Systems, Inc.","Technology","Communication Equipment","USA",1340.51,42.10,15.24,1.13%,321016
978,"CASH","L&GE; Fund MSCI China A ETF","Financial","Savings & Loans","USA",913.41,16.19,89.20,0.28%,31349
979,"CASI","CASI Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",603.17,,6.89,-5.16%,236624
980,"CASM","CAS Medical Systems, Inc.","Healthcare","Medical Instruments & Supplies","USA",61.93,,2.19,4.78%,595654
981,"CASS","Cass Information Systems, Inc.","Services","Business Services","USA",863.13,28.74,68.34,1.38%,9155
982,"CASY","Casey's General Stores, Inc.","Services","Grocery Stores","USA",4004.57,29.22,110.41,1.95%,263490
983,"CAT","Caterpillar Inc.","Industrial Goods","Farm & Construction Machinery","USA",82529.98,18.05,138.01,-0.38%,4185155
984,"CATB","Catabasis Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",44.35,,0.62,-3.84%,1131366
985,"CATH","Global X S&P; 500 Catholic Values ETF","Financial","Exchange Traded Fund","USA",,,35.04,0.81%,5273
986,"CATM","Cardtronics plc","Services","Business Services","USA",1152.96,,23.96,-3.07%,513168
987,"CATO","The Cato Corporation","Services","Apparel Stores","USA",657.26,27.30,25.01,1.42%,210902
988,"CATS","Catasys, Inc.","Healthcare","Specialized Health Services","USA",111.89,19.91,6.89,-0.43%,24326
989,"CATY","Cathay General Bancorp","Financial","Regional - Pacific Banks","USA",3411.46,14.63,42.41,1.10%,319613
990,"CAW","CCA Industries, Inc.","Consumer Goods","Personal Products","USA",19.35,32.94,2.80,0.00%,1947
991,"CB","Chubb Limited","Financial","Property & Casualty Insurance","USA",64099.36,19.06,137.64,-0.59%,1207473
992,"CBA","ClearBridge American Energy MLP Fund Inc.","Financial","Closed-End Fund - Equity","USA",493.14,,8.27,2.22%,209987
993,"CBAK","CBAK Energy Technology, Inc.","Technology","Diversified Electronics","China",17.86,,0.66,-12.00%,50071
994,"CBAN","Colony Bankcorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",141.37,12.57,16.75,0.30%,6158
995,"CBAY","CymaBay Therapeutics, Inc.","Healthcare","Biotechnology","USA",727.46,,11.31,-0.88%,435716
996,"CBB","Cincinnati Bell Inc.","Technology","Telecom Services - Domestic","USA",661.45,,13.20,1.15%,387009
997,"CBD","Companhia Brasileira de Distribuicao","Services","Grocery Stores","Brazil",5894.50,45.83,22.41,1.17%,509471
998,"CBFV","CB Financial Services, Inc.","Financial","Regional - Northeast Banks","USA",183.77,22.09,32.70,1.40%,2808
999,"CBIO","Catalyst Biosciences, Inc.","Healthcare","Biotechnology","USA",133.56,,10.41,6.55%,436685
1000,"CBK","Christopher & Banks Corporation","Services","Apparel Stores","USA",37.82,,0.95,-1.00%,197748
1001,"CBL","CBL & Associates Properties, Inc","Financial","REIT - Retail","USA",878.35,18.98,5.01,-10.22%,8454212
1002,"CBLI","Cleveland BioLabs, Inc.","Healthcare","Biotechnology","USA",26.10,,2.49,3.32%,11807
1003,"CBLK","Carbon Black, Inc.","Technology","Application Software","USA",1510.89,,21.84,6.74%,445824
1004,"CBM","Cambrex Corporation","Healthcare","Biotechnology","USA",2198.16,20.74,66.15,5.42%,655755
1005,"CBMG","Cellular Biomedicine Group, Inc.","Healthcare","Biotechnology","USA",365.71,,20.85,-7.13%,65544
1006,"CBND","SPDR Blmbg Barclays Isr Scr CorpBd ETF","Financial","Exchange Traded Fund","USA",,,30.90,-0.10%,16501
1007,"CBOE","Cboe Global Markets, Inc.","Financial","Diversified Investments","USA",11109.93,35.05,95.80,-0.58%,1143951
1008,"CBON","VanEck Vectors ChinaAMC China Bond ETF","Financial","Exchange Traded Fund","USA",,,22.39,-0.89%,26
1009,"CBPO","China Biologic Products Holdings, Inc.","Healthcare","Biotechnology","China",3414.71,44.02,101.81,-0.04%,184988
1010,"CBPX","Continental Building Products, Inc.","Industrial Goods","General Building Materials","USA",1172.00,23.20,31.65,0.16%,143599
1011,"CBRE","CBRE Group, Inc.","Financial","Property Management","USA",16714.05,19.68,49.32,-1.08%,1727088
1012,"CBRL","Cracker Barrel Old Country Store, Inc.","Services","Restaurants","USA",3497.14,13.00,145.69,-0.21%,212945
1013,"CBS","CBS Corporation","Services","Entertainment - Diversified","USA",21205.57,11.79,52.72,0.32%,5385064
1014,"CBS-A","CBS Corporation","Services","Entertainment - Diversified","USA",1987.90,18.89,53.00,-0.05%,5829
1015,"CBSH","Commerce Bancshares, Inc.","Financial","Regional - Midwest Banks","USA",7370.14,20.07,68.70,1.57%,438449
1016,"CBT","Cabot Corporation","Basic Materials","Specialty Chemicals","USA",4062.73,876.53,65.74,0.40%,218837
1017,"CBU","Community Bank System, Inc.","Financial","Regional - Midwest Banks","USA",3291.70,29.24,64.48,0.80%,122277
1018,"CBZ","CBIZ, Inc.","Services","Business Services","USA",1202.92,20.31,21.55,-1.82%,318458
1019,"CC","The Chemours Company","Basic Materials","Specialty Chemicals","USA",7833.26,8.99,43.97,-1.96%,3209951
1020,"CCA","MFS California Municipal Fund","Financial","Asset Management","USA",28.73,64.94,10.26,0.54%,11119
1021,"CCBG","Capital City Bank Group, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",424.84,20.23,24.18,0.17%,14318
1022,"CCCL","China Ceramics Co., Ltd.","Industrial Goods","General Building Materials","China",7.52,,1.58,0.00%,12063
1023,"CCD","Calamos Dynamic Convertible and Income Fund","Financial","Closed-End Fund - Equity","USA",,,21.80,-0.05%,144152
1024,"CCE","Coca-Cola European Partners plc","Consumer Goods","Beverages - Soft Drinks","USA",19701.77,17.16,40.22,-1.23%,1446692
1025,"CCF","Chase Corporation","Industrial Goods","Industrial Equipment & Components","USA",1144.56,27.02,125.50,3.04%,45838
1026,"CCI","Crown Castle International Corp. (REIT)","Technology","Diversified Communication Services","USA",46089.76,111.03,111.25,-0.26%,1256212
1027,"CCIH","ChinaCache International Holdings Ltd.","Technology","Internet Information Providers","China",30.18,,1.20,-4.00%,23015
1028,"CCJ","Cameco Corporation","Basic Materials","Industrial Metals & Minerals","Canada",4438.78,,11.11,2.21%,1892804
1029,"CCK","Crown Holdings, Inc.","Consumer Goods","Packaging & Containers","USA",5927.40,11.94,44.40,-0.25%,2090413
1030,"CCL","Carnival Corporation","Services","Resorts & Casinos","USA",41102.60,15.02,58.85,0.39%,4926492
1031,"CCLP","CSI Compressco LP","Basic Materials","Oil & Gas Equipment & Services","USA",219.37,,5.30,-1.49%,79250
1032,"CCM","Concord Medical Services Holdings Limited","Healthcare","Hospitals","China",167.60,,3.72,-3.65%,3279
1033,"CCMP","Cabot Microelectronics Corporation","Technology","Semiconductor - Integrated Circuits","USA",3144.23,36.31,122.63,1.54%,71485
1034,"CCNE","CNB Financial Corporation","Financial","Regional - Northeast Banks","USA",489.93,17.92,31.67,1.34%,7122
1035,"CCO","Clear Channel Outdoor Holdings, Inc.","Services","Marketing Services","USA",1619.80,,4.45,0.00%,25739
1036,"CCOI","Cogent Communications Holdings, Inc.","Technology","Diversified Communication Services","USA",2389.95,116.14,51.10,-2.57%,322281
1037,"CCOR","Cambria Core Equity ETF","Financial","Exchange Traded Fund","USA",,,24.93,0.36%,2857
1038,"CCR","CONSOL Coal Resources LP","Basic Materials","Industrial Metals & Minerals","USA",454.77,10.24,16.95,3.99%,93228
1039,"CCRC","China Customer Relations Centers, Inc.","Services","Business Services","China",171.62,18.39,8.81,1.50%,62904
1040,"CCRN","Cross Country Healthcare, Inc.","Services","Staffing & Outsourcing Services","USA",296.01,5.95,8.11,-31.62%,1721781
1041,"CCS","Century Communities, Inc.","Industrial Goods","Residential Construction","USA",963.47,13.20,31.15,0.81%,376410
1042,"CCU","Compania Cervecerias Unidas S.A.","Consumer Goods","Beverages - Brewers","Chile",4986.17,23.42,27.38,-0.11%,193727
1043,"CCXI","ChemoCentryx, Inc.","Healthcare","Biotechnology","USA",598.95,50.50,11.21,0.36%,98282
1044,"CDAY","Ceridian HCM Holding Inc.","Technology","Application Software","USA",4856.34,,34.81,3.69%,198752
1045,"CDC","Lehman ABS Corp. SER 01-19 9%","Financial","Exchange Traded Fund","USA",,,47.07,0.30%,58998
1046,"CDE","Coeur Mining, Inc.","Basic Materials","Gold","USA",1349.39,,6.51,-4.41%,5783189
1047,"CDEV","Centennial Resource Development, Inc.","Basic Materials","Oil & Gas Pipelines","USA",5192.24,36.65,18.51,1.37%,2111650
1048,"CDK","CDK Global, Inc.","Technology","Application Software","USA",8284.42,26.67,62.20,0.89%,1072403
1049,"CDL","VictoryShares US LgCp Hi Div Vol Wtd ETF","Financial","Exchange Traded Fund","USA",,,45.78,0.28%,4816
1050,"CDLX","Cardlytics, Inc.","Technology","Internet Information Providers","USA",412.52,,19.01,2.54%,45993
1051,"CDMO","Avid Bioservices, Inc.","Healthcare","Biotechnology","USA",329.94,,5.74,1.41%,585428
1052,"CDMOP","Avid Bioservices, Inc.","Healthcare","Biotechnology","USA",1126.66,,25.60,-0.61%,4933
1053,"CDNA","CareDx, Inc","Services","Research Services","USA",532.90,43.58,14.60,0.97%,457848
1054,"CDNS","Cadence Design Systems, Inc.","Technology","Application Software","USA",13035.86,107.19,44.70,1.61%,1599514
1055,"CDOR","Condor Hospitality Trust, Inc.","Financial","REIT - Hotel/Motel","USA",125.31,23.30,10.53,-0.66%,3421
1056,"CDR","Cedar Realty Trust, Inc.","Financial","REIT - Retail","USA",449.85,,4.64,-1.07%,223109
1057,"CDTI","CDTI Advanced Materials, Inc.","Industrial Goods","Pollution & Treatment Controls","USA",8.10,,0.52,-3.00%,72829
1058,"CDTX","Cidara Therapeutics, Inc.","Healthcare","Biotechnology","USA",106.89,,3.95,0.00%,118596
1059,"CDW","CDW Corporation","Technology","Information Technology Services","USA",13428.85,26.42,87.24,3.99%,1256957
1060,"CDXC","ChromaDex Corporation","Healthcare","Biotechnology","USA",216.44,,4.21,-4.97%,296584
1061,"CDXS","Codexis, Inc.","Healthcare","Biotechnology","USA",853.76,,14.50,0.69%,239576
1062,"CDZI","Cadiz Inc.","Utilities","Water Utilities","USA",311.01,,13.32,-0.93%,49879
1063,"CE","Celanese Corporation","Basic Materials","Chemicals - Major Diversified","USA",15618.61,13.63,115.19,-1.69%,857273
1064,"CEA","China Eastern Airlines Corporation Limited","Services","Major Airlines","China",10854.29,9.21,29.75,-3.09%,163181
1065,"CECE","CECO Environmental Corp.","Industrial Goods","Pollution & Treatment Controls","USA",244.85,55.85,6.87,0.15%,43079
1066,"CECO","Career Education Corporation","Services","Education & Training Services","USA",1250.66,36.44,17.60,-5.73%,1090220
1067,"CEE","The Central and Eastern Europe","Financial","Closed-End Fund - Foreign","USA",,,23.75,-1.57%,6595
1068,"CEF","Central Fund of Canada Limited","Financial","Asset Management","Canada",,,12.09,-0.49%,535407
1069,"CEFL","UBS ETRACS Monthly Pay 2xLeveraged Closed-End Fund ETN","Financial","Exchange Traded Fund","USA",,,15.77,0.25%,81551
1070,"CEFS","Saba Closed-End Funds ETF","Financial","Exchange Traded Fund","USA",,,20.12,-0.05%,7642
1071,"CEI","Camber Energy, Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",8.56,,0.38,5.18%,5037009
1072,"CEIX","CONSOL Energy Inc.","Basic Materials","Industrial Metals & Minerals","USA",1296.32,8.84,46.38,11.54%,714506
1073,"CEL","Cellcom Israel Ltd.","Technology","Telecom Services - Domestic","Israel",572.76,22.27,5.68,2.70%,5649
1074,"CELC","Celcuity Inc.","Healthcare","Medical Laboratories & Research","USA",248.72,,24.65,1.73%,6951
1075,"CELG","Celgene Corporation","Healthcare","Biotechnology","USA",66575.08,17.17,90.55,0.40%,4791156
